Vivado Simulator 2019.1
Time resolution is 1 ps
Applying reset...
                   0 clk=0, reset=1, enJump=x, address=xxxx, j=x, c=x, sreg=x, s=x, D=xx, imm_out=xxx, mux1_out=xxxxxxxx
                  75 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000000
                  80 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000000
                  85 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000001
                  90 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000001
                  95 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000001
                 100 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000001
                 105 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000001
                 110 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000001
                 115 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000001
                 120 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000001
                 125 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000010
                 130 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000010
                 135 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000010
                 140 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000010
                 145 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000001
                 150 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000001
                 155 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000001
                 160 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000001
                 165 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000010
                 170 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000010
                 175 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000010
                 180 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000010
                 185 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000010
                 190 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000010
                 195 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000011
                 200 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000011
                 205 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000011
                 210 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000011
                 215 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000001
                 220 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000001
                 225 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000010
                 230 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000010
                 235 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000011
                 240 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000011
                 245 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000011
                 250 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000011
                 255 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000011
                 260 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000011
                 265 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000101
                 270 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000101
                 275 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000101
                 280 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000101
                 285 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000010
                 290 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000010
                 295 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000011
                 300 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000011
                 305 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000101
                 310 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00000101
                 315 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000101
                 320 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000101
                 325 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000101
                 330 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000101
                 335 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00001000
                 340 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00001000
                 345 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00001000
                 350 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00001000
                 355 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000011
                 360 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000011
                 365 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000101
                 370 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00000101
                 375 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00001000
                 380 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00001000
                 385 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00001000
                 390 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00001000
                 395 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00001000
                 400 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00001000
                 405 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00001101
                 410 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00001101
                 415 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00001101
                 420 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00001101
                 425 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000101
                 430 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00000101
                 435 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00001000
                 440 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00001000
                 445 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00001101
                 450 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00001101
                 455 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00001101
                 460 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00001101
                 465 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00001101
                 470 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00001101
                 475 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00010101
                 480 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00010101
                 485 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00010101
                 490 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00010101
                 495 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00001000
                 500 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00001000
                 505 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00001101
                 510 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00001101
                 515 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00010101
                 520 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00010101
                 525 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00010101
                 530 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00010101
                 535 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00010101
                 540 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00010101
                 545 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00100010
                 550 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00100010
                 555 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00100010
                 560 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00100010
                 565 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00001101
                 570 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00001101
                 575 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00010101
                 580 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00010101
                 585 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00100010
                 590 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00100010
                 595 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00100010
                 600 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00100010
                 605 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00100010
                 610 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00100010
                 615 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00110111
                 620 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00110111
                 625 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00110111
                 630 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00110111
                 635 clk=1, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00010101
                 640 clk=0, reset=1, enJump=0, address=0110, j=0, c=0, sreg=0, s=1, D=01, imm_out=100, mux1_out=00010101
                 645 clk=1, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00100010
                 650 clk=0, reset=1, enJump=0, address=0111, j=0, c=0, sreg=0, s=1, D=00, imm_out=100, mux1_out=00100010
                 655 clk=1, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00110111
                 660 clk=0, reset=1, enJump=1, address=1000, j=1, c=0, sreg=0, s=0, D=11, imm_out=010, mux1_out=00110111
                 665 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00110111
                 670 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00110111
